id empleado;numAula;semestre;dia;Fecha;hora ini;hora fin
2888;6;3;1;01/10/2012;14:00;15:20
6526;7;3;1;01/10/2012;14:00;15:20
430;8;3;1;01/10/2012;14:00;15:20
8990;8;3;1;01/10/2012;14:00;15:20
1737;8;3;1;01/10/2012;14:00;15:20
6515;9;3;1;01/10/2012;14:00;15:20
7761;10;3;1;01/10/2012;14:00;15:20
9394;11;3;1;01/10/2012;14:00;15:20
8461;12;3;1;01/10/2012;14:00;15:20
2364;13;3;1;01/10/2012;14:00;15:20
3908;14;3;1;01/10/2012;14:00;15:20
7379;15;3;1;01/10/2012;14:00;15:20
6556;16;3;1;01/10/2012;14:00;15:20
2550;17;3;1;01/10/2012;14:00;15:20
8701;18;3;1;01/10/2012;14:00;15:20
8460;19;3;1;01/10/2012;14:00;15:20
9033;20;3;1;01/10/2012;14:00;15:20
7972;21;3;1;01/10/2012;14:00;15:20
9086;9;5;1;01/10/2012;14:00;15:20
7098;10;5;1;01/10/2012;14:00;15:20
6323;11;5;1;01/10/2012;14:00;15:20
3628;12;5;1;01/10/2012;14:00;15:20
2797;13;5;1;01/10/2012;14:00;15:20
9138;14;5;1;01/10/2012;14:00;15:20
7381;15;5;1;01/10/2012;14:00;15:20
8466;16;5;1;01/10/2012;14:00;15:20
6996;17;5;1;01/10/2012;14:00;15:20
7845;18;5;1;01/10/2012;14:00;15:20
6822;20;5;1;01/10/2012;14:00;15:20
7955;22;3;1;01/10/2012;14:00;15:20
